#     gal_num          x_image          y_image             ra              dec            g1_nopsf         g2_nopsf         g1_meas          g2_meas            fwhm       final_sigmaSize  nopsf_sigmaSize       nfw_g1           nfw_g2           nfw_mu          redshift           flux          stamp_sum         noisevar     
              61   5.57100000e+03   3.21700000e+03   2.89347409e+02  -3.30428310e+01  -1.16715137e-01  -3.76083716e-01  -9.85523672e-02  -3.17016957e-01   7.13304485e-01   2.34212160e+00   1.97638524e+00  -6.14969631e-02  -6.85259504e-02   1.18312327e+00   6.70075172e-01   3.37469544e+04   3.37469531e+04   0.00000000e+00
              62   3.04900000e+03   1.27300000e+03   2.89519209e+02  -3.31546105e+01   0.00000000e+00   0.00000000e+00   8.69085528e-02  -7.94200885e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03   1.59049568e-01  -1.02565217e-01   1.75095009e+00   7.20434361e-01   6.16848697e+03   6.16848730e+03   0.00000000e+00
              63   6.16800000e+03   1.45800000e+03   2.89306038e+02  -3.31433716e+01   0.00000000e+00   0.00000000e+00  -1.31232247e-02  -1.04833830e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -6.20829850e-02   3.58489151e-02   1.12474842e+00   5.43369711e-01   2.78410773e+03   2.78410767e+03   0.00000000e+00
              65   5.45000000e+02   7.77000000e+02   2.89690302e+02  -3.31832994e+01   0.00000000e+00   0.00000000e+00   6.60848301e-02   2.59763625e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -4.29084292e-02  -6.19722961e-02   1.12650244e+00   7.25813974e-01   2.32627020e+03   2.32627026e+03   0.00000000e+00
              67   3.87300000e+03   4.39400000e+03   2.89463594e+02  -3.29758973e+01  -4.00906491e-01  -2.12618781e-01  -3.07148888e-01  -1.64027382e-01   6.60248299e-01   1.78004444e+00   1.44846249e+00   9.35076828e-02  -4.89923024e-02   1.22553410e+00   8.00836135e-01   6.40131747e+03   6.40131738e+03   0.00000000e+00
              68   5.02500000e+03   1.95300000e+03   2.89384341e+02  -3.31153027e+01   1.87670315e-01  -1.76632586e-01   1.17192125e-01  -9.90150581e-02   5.51069876e-01   1.28121424e+00   9.55584943e-01  -1.12240280e-01   3.65013773e-02   1.30195139e+00   5.99895113e-01   6.94658627e+02   6.94658691e+02   0.00000000e+00
              69   7.46000000e+02   2.65900000e+03   2.89676741e+02  -3.30755386e+01   0.00000000e+00   0.00000000e+00   1.03286987e-01  -9.49396839e-03  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -9.80819188e-02   3.31294535e-02   1.19991556e+00   1.47417648e+00   7.04757745e+02   7.04757751e+02   0.00000000e+00
              71   6.00400000e+03   3.91700000e+03   2.89318039e+02  -3.30026908e+01  -2.72290050e-01   3.05271731e-01  -2.07353170e-01   2.32315193e-01   6.61449239e-01   1.69596791e+00   1.44124198e+00  -2.98830358e-02  -6.40217457e-02   1.11752113e+00   6.14786023e-01   2.72588309e+03   2.72588330e+03   0.00000000e+00
              72   2.43800000e+03   1.87800000e+03   2.89561012e+02  -3.31200590e+01   1.58642691e-01  -6.43714577e-01   1.27689690e-01  -5.15928162e-01   5.01824262e-01   2.02766347e+00   1.47101164e+00  -1.39664665e-01  -1.29756809e-01   1.77617172e+00   6.89117660e-01   5.51104013e+03   5.51104004e+03   0.00000000e+00
              73   2.00400000e+03   7.04000000e+02   2.89590522e+02  -3.31873295e+01   0.00000000e+00   0.00000000e+00  -1.53597850e-01  -1.22165889e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03   1.44816226e-02  -1.01252857e-01   1.23173055e+00   5.82787442e-01   1.09162556e+04   1.09162549e+04   0.00000000e+00
              74   9.44000000e+02   3.50400000e+03   2.89663275e+02  -3.30272105e+01  -3.02039893e-01  -1.33999099e-01  -2.85910558e-01  -1.26843583e-01   1.36608843e+00   3.30010676e+00   3.21175766e+00  -4.38439266e-02   6.48363810e-02   1.14411609e+00   5.60002173e-01   1.80556359e+03   1.80556360e+03   0.00000000e+00
              75   3.14900000e+03   7.14000000e+02   2.89512265e+02  -3.31865825e+01   2.40130256e-01   8.35544291e-03   1.76201801e-01   5.74529351e-03   6.18192202e-01   1.56435323e+00   1.23914206e+00   1.16437537e-01  -2.80017728e-02   1.33090301e+00   5.16627589e-01   1.26136581e+03   1.26136584e+03   0.00000000e+00
              77   2.17600000e+03   1.85000000e+03   2.89578940e+02  -3.31217414e+01   0.00000000e+00   0.00000000e+00   1.72017958e-02  -1.33143802e-01  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -1.17414221e-01  -8.67106470e-02   1.48093532e+00   5.53649187e-01   1.34133219e+04   1.34133223e+04   0.00000000e+00
              78   4.56000000e+03   2.60000000e+01   2.89415581e+02  -3.32257052e+01   0.00000000e+00   0.00000000e+00  -1.94986929e-02  -5.95172260e-03  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03   4.41779115e-02   7.24932070e-02   1.16454288e+00   5.82356861e-01   5.09509579e+02   5.09509583e+02   0.00000000e+00
              79   3.60000000e+01   3.49500000e+03   2.89725264e+02  -3.30277467e+01   1.04585189e-01  -5.24733546e-02   5.20779383e-02  -3.42965582e-02   6.08743392e-01   1.41288507e+00   9.58868444e-01  -4.52597164e-02   4.04150360e-02   1.09346114e+00   5.52339574e-01   1.13486564e+03   1.13486572e+03   0.00000000e+00
              80   4.36200000e+03   1.67400000e+03   2.89429509e+02  -3.31313953e+01   0.00000000e+00   0.00000000e+00   5.54464392e-02   4.78276573e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -1.00439937e-01   1.49148143e-01   1.63421015e+00   8.69754520e-01   8.26559929e+02   8.26559937e+02   0.00000000e+00
              81   5.90900000e+03   7.12000000e+02   2.89323520e+02  -3.31860765e+01  -2.13787574e-01   5.27756037e-01  -1.41499412e-01   3.49661231e-01   5.80613191e-01   1.47943926e+00   1.05104983e+00  -3.97514898e-02   7.03722211e-02   1.14062458e+00   7.82082860e-01   1.37320093e+03   1.37320093e+03   0.00000000e+00
              83   2.48200000e+03   2.72800000e+03   2.89558171e+02  -3.30714559e+01  -1.66959540e-01   3.29018762e-01  -1.14689653e-01   2.10940665e-01   5.80052712e-01   1.41262257e+00   1.00191808e+00  -9.27289217e-02   1.65101245e-01   1.75540561e+00   7.11444219e-01   1.87890694e+03   1.87890698e+03   0.00000000e+00
