wavelength,fnu
497,4.8317279545510554e-29
498,4.8634399061174075e-29
499,4.8951518576837596e-29
500,4.926863809250112e-29
501,4.958575760816464e-29
502,4.990287712382816e-29
503,5.0219996639491675e-29
504,5.05371161551552e-29
505,5.085423567081872e-29
506,5.117135518648224e-29
507,5.148847470214576e-29
508,5.180559421780929e-29
509,5.21227137334728e-29
510,5.243983324913633e-29
511,5.275695276479984e-29
512,5.307407228046336e-29
513,5.339119179612689e-29
514,5.370831131179041e-29
515,5.402543082745393e-29
516,5.434255034311744e-29
517,5.465966985878097e-29
518,5.497678937444449e-29
519,5.529390889010801e-29
520,5.561102840577153e-29
521,5.592814792143504e-29
522,5.624526743709857e-29
523,5.65623869527621e-29
524,5.687950646842561e-29
525,5.719662598408913e-29
526,5.751374549975265e-29
527,5.783086501541618e-29
528,5.81479845310797e-29
529,5.846510404674321e-29
530,5.878222356240673e-29
531,5.909934307807025e-29
532,5.941646259373378e-29
533,5.97335821093973e-29
534,6.005070162506081e-29
535,6.036782114072434e-29
536,6.068494065638787e-29
537,6.100206017205138e-29
538,6.13191796877149e-29
539,6.163629920337842e-29
540,6.195341871904195e-29
541,6.227053823470547e-29
542,6.258765775036898e-29
543,6.29047772660325e-29
544,6.322189678169602e-29
545,6.353901629735955e-29
546,6.385613581302307e-29
547,6.417325532868658e-29
548,6.449037484435011e-29
549,6.481543767814048e-29
550,6.517227378443832e-29
551,6.552910989073615e-29
552,6.588594599703398e-29
553,6.62427821033318e-29
554,6.659961820962964e-29
555,6.695645431592747e-29
556,6.731329042222529e-29
557,6.767012652852312e-29
558,6.802696263482095e-29
559,6.838379874111879e-29
560,6.874063484741661e-29
561,6.909747095371444e-29
562,6.945430706001227e-29
563,6.981114316631009e-29
564,7.016797927260793e-29
565,7.052481537890576e-29
566,7.088165148520359e-29
567,7.123848759150141e-29
568,7.159532369779924e-29
569,7.195215980409708e-29
570,7.23089959103949e-29
571,7.266583201669273e-29
572,7.302266812299056e-29
573,7.33795042292884e-29
574,7.373634033558622e-29
575,7.409317644188405e-29
576,7.445001254818188e-29
577,7.480684865447971e-29
578,7.516368476077754e-29
579,7.552052086707537e-29
580,7.58773569733732e-29
581,7.623419307967102e-29
582,7.659102918596885e-29
583,7.694786529226669e-29
584,7.730470139856451e-29
585,7.766153750486234e-29
586,7.801837361116017e-29
587,7.8375209717458e-29
588,7.873204582375584e-29
589,7.908888193005366e-29
590,7.944571803635149e-29
591,7.980255414264932e-29
592,8.015939024894715e-29
593,8.051622635524498e-29
594,8.087306246154281e-29
595,8.122989856784063e-29
596,8.158673467413846e-29
597,8.19435707804363e-29
598,8.230040688673412e-29
599,8.265724299303195e-29
600,8.301407909932978e-29
601,8.337091520562761e-29
602,8.372775131192545e-29
603,8.408458741822327e-29
604,8.44414235245211e-29
605,8.479825963081893e-29
606,8.515509573711675e-29
607,8.551193184341459e-29
608,8.586876794971242e-29
609,8.622560405601024e-29
610,8.658244016230807e-29
611,8.693927626860591e-29
612,8.729611237490374e-29
613,8.765294848120157e-29
614,8.800978458749939e-29
615,8.836662069379722e-29
616,8.872345680009506e-29
617,8.908029290639288e-29
618,8.943712901269071e-29
619,8.979396511898854e-29
620,9.015080122528636e-29
621,9.05076373315842e-29
622,9.086447343788203e-29
623,9.122130954417985e-29
624,9.157814565047769e-29
625,9.193498175677552e-29
626,9.229181786307334e-29
627,9.264865396937118e-29
628,9.3005490075669e-29
629,9.336232618196683e-29
630,9.371916228826467e-29
631,9.407599839456249e-29
632,9.443283450086032e-29
633,9.478967060715815e-29
634,9.514650671345597e-29
635,9.550334281975381e-29
636,9.586017892605164e-29
637,9.621701503234946e-29
638,9.65738511386473e-29
639,9.693068724494512e-29
640,9.728752335124296e-29
641,9.764435945754079e-29
642,9.800119556383861e-29
643,9.835803167013644e-29
644,9.871486777643428e-29
645,9.90717038827321e-29
646,9.942853998902993e-29
647,9.978537609532776e-29
648,1.0014221220162558e-28
649,1.0049904830792343e-28
650,1.0085588441422125e-28
651,1.0121272052051907e-28
652,1.0226329821635108e-28
653,1.0400761750171722e-28
654,1.057519367870834e-28
655,1.0749625607244954e-28
656,1.092405753578157e-28
657,1.1098489464318186e-28
658,1.12729213928548e-28
659,1.1447353321391418e-28
660,1.1621785249928033e-28
661,1.179621717846465e-28
662,1.1970649107001265e-28
663,1.214508103553788e-28
664,1.2319512964074497e-28
665,1.2493944892611112e-28
666,1.2668376821147729e-28
667,1.2842808749684344e-28
668,1.301724067822096e-28
669,1.3191672606757575e-28
670,1.336610453529419e-28
671,1.3540536463830807e-28
672,1.3714968392367424e-28
673,1.388940032090404e-28
674,1.4063832249440654e-28
675,1.4238264177977271e-28
676,1.4412696106513886e-28
677,1.4587128035050503e-28
678,1.4761559963587118e-28
679,1.4935991892123735e-28
680,1.511042382066035e-28
681,1.5284855749196965e-28
682,1.5459287677733582e-28
683,1.5633719606270199e-28
684,1.5808151534806811e-28
685,1.5982583463343428e-28
686,1.6157015391880046e-28
687,1.633144732041666e-28
688,1.6505879248953275e-28
689,1.6680311177489892e-28
690,1.685474310602651e-28
691,1.7029175034563124e-28
692,1.720360696309974e-28
693,1.7378038891636356e-28
694,1.755247082017297e-28
695,1.7726902748709586e-28
696,1.7901334677246203e-28
697,1.807576660578282e-28
698,1.8250198534319435e-28
699,1.842463046285605e-28
700,1.8599062391392667e-28
701,1.8773494319929281e-28
702,1.8947926248465896e-28
703,1.9122358177002513e-28
704,1.929679010553913e-28
705,1.9471222034075745e-28
706,1.964565396261236e-28
707,1.9820085891148977e-28
708,1.9994517819685592e-28
709,2.0168949748222207e-28
710,2.0343381676758824e-28
711,2.051781360529544e-28
712,2.069224553383206e-28
713,2.086667746236867e-28
714,2.1041109390905288e-28
715,2.12155413194419e-28
716,2.1389973247978517e-28
717,2.1564405176515134e-28
718,2.173883710505175e-28
719,2.191326903358837e-28
720,2.208770096212498e-28
721,2.22621328906616e-28
722,2.243656481919821e-28
723,2.261099674773483e-28
724,2.2785428676271445e-28
725,2.295986060480806e-28
726,2.313429253334468e-28
727,2.3308724461881296e-28
728,2.348315639041791e-28
729,2.365758831895452e-28
730,2.383202024749114e-28
731,2.4006452176027756e-28
732,2.4180884104564373e-28
733,2.435531603310099e-28
734,2.4529747961637607e-28
