wavelength,fnu
441,6.1083011192860345e-30
442,6.327429573622621e-30
443,6.546558027959209e-30
444,6.765686482295795e-30
445,6.984814936632382e-30
446,7.203943390968969e-30
447,7.423071845305557e-30
448,7.642200299642143e-30
449,7.861328753978731e-30
450,8.080457208315317e-30
451,8.299585662651905e-30
452,8.518714116988491e-30
453,8.737842571325079e-30
454,8.956971025661666e-30
455,9.176099479998252e-30
456,9.395227934334839e-30
457,9.614356388671426e-30
458,9.833484843008014e-30
459,1.00526132973446e-29
460,1.0271741751681186e-29
461,1.0490870206017774e-29
462,1.0709998660354362e-29
463,1.0929127114690948e-29
464,1.1148255569027534e-29
465,1.1367384023364122e-29
466,1.158651247770071e-29
467,1.1805640932037296e-29
468,1.2024769386373882e-29
469,1.2243897840710471e-29
470,1.2463026295047057e-29
471,1.2682154749383643e-29
472,1.290128320372023e-29
473,1.312041165805682e-29
474,1.3339540112393405e-29
475,1.355866856672999e-29
476,1.377779702106658e-29
477,1.3996925475403166e-29
478,1.4216053929739753e-29
479,1.443518238407634e-29
480,1.4654310838412928e-29
481,1.4873439292749514e-29
482,1.50925677470861e-29
483,1.5311696201422687e-29
484,1.5530824655759276e-29
485,1.5749953110095862e-29
486,1.5969081564432448e-29
487,1.6188210018769035e-29
488,1.6407338473105624e-29
489,1.662646692744221e-29
490,1.6845595381778796e-29
491,1.7064723836115382e-29
492,1.728385229045197e-29
493,1.7502980744788558e-29
494,1.7722109199125144e-29
495,1.7941237653461733e-29
496,1.816036610779832e-29
497,1.8379494562134905e-29
498,1.8598623016471494e-29
499,1.881775147080808e-29
500,1.9036879925144667e-29
501,1.9256008379481253e-29
502,1.9475136833817842e-29
503,1.9694265288154428e-29
504,1.9913393742491015e-29
505,2.01325221968276e-29
506,2.035165065116419e-29
507,2.0570779105500776e-29
508,2.0789907559837362e-29
509,2.1009036014173951e-29
510,2.1228164468510538e-29
511,2.1447292922847124e-29
512,2.166642137718371e-29
513,2.18855498315203e-29
514,2.2104678285856885e-29
515,2.2323806740193472e-29
516,2.2542935194530058e-29
517,2.2762063648866647e-29
518,2.2981192103203233e-29
519,2.320032055753982e-29
520,2.3419449011876406e-29
521,2.3638577466212995e-29
522,2.385770592054958e-29
523,2.4076834374886167e-29
524,2.4295962829222756e-29
525,2.4515091283559342e-29
526,2.473421973789593e-29
527,2.4953348192232515e-29
528,2.5172476646569104e-29
529,2.539160510090569e-29
530,2.5610733555242274e-29
531,2.582986200957886e-29
532,2.604899046391545e-29
533,2.6268118918252035e-29
534,2.6487247372588624e-29
535,2.670637582692521e-29
536,2.6925504281261797e-29
537,2.7144632735598386e-29
538,2.736376118993497e-29
539,2.758288964427156e-29
540,2.780201809860815e-29
541,2.802114655294473e-29
542,2.824027500728132e-29
543,2.845940346161791e-29
544,2.867853191595449e-29
545,2.889766037029108e-29
546,2.9116788824627665e-29
547,2.9335917278964254e-29
548,2.955504573330084e-29
549,2.976800738124923e-29
550,2.99563018036448e-29
551,3.0144596226040376e-29
552,3.0332890648435947e-29
553,3.052118507083152e-29
554,3.0709479493227094e-29
555,3.0897773915622665e-29
556,3.108606833801824e-29
557,3.127436276041381e-29
558,3.146265718280939e-29
559,3.165095160520496e-29
560,3.1839246027600536e-29
561,3.2027540449996107e-29
562,3.221583487239168e-29
563,3.2404129294787255e-29
564,3.2592423717182825e-29
565,3.27807181395784e-29
566,3.2969012561973973e-29
567,3.315730698436955e-29
568,3.334560140676512e-29
569,3.3533895829160697e-29
570,3.372219025155627e-29
571,3.391048467395184e-29
572,3.4098779096347415e-29
573,3.4287073518742986e-29
574,3.447536794113856e-29
575,3.4663662363534134e-29
576,3.485195678592971e-29
577,3.504025120832528e-29
578,3.522854563072086e-29
579,3.541684005311643e-29
580,3.5605134475512005e-29
581,3.5793428897907576e-29
582,3.5981723320303147e-29
583,3.6170017742698723e-29
584,3.6358312165094294e-29
585,3.654660658748987e-29
586,3.673490100988544e-29
587,3.692319543228102e-29
588,3.711148985467659e-29
589,3.729978427707216e-29
590,3.7488078699467736e-29
591,3.7676373121863313e-29
592,3.7864667544258884e-29
593,3.8052961966654455e-29
594,3.824125638905003e-29
595,3.84295508114456e-29
596,3.861784523384118e-29
597,3.880613965623675e-29
598,3.8994434078632326e-29
599,3.9182728501027897e-29
600,3.937102292342347e-29
601,3.9559317345819044e-29
602,3.974761176821462e-29
603,3.993590619061019e-29
604,4.012420061300576e-29
605,4.031249503540134e-29
606,4.050078945779691e-29
607,4.0689083880192487e-29
608,4.087737830258806e-29
609,4.1065672724983634e-29
610,4.1253967147379205e-29
611,4.1442261569774776e-29
612,4.163055599217035e-29
613,4.1818850414565923e-29
614,4.20071448369615e-29
615,4.219543925935707e-29
616,4.238373368175265e-29
617,4.257202810414822e-29
618,4.276032252654379e-29
619,4.2948616948939366e-29
620,4.313691137133494e-29
621,4.3325205793730513e-29
622,4.3513500216126084e-29
623,4.370179463852166e-29
624,4.3890089060917237e-29
625,4.407838348331281e-29
626,4.426667790570838e-29
627,4.4454972328103955e-29
628,4.4643266750499526e-29
629,4.4831561172895097e-29
630,4.5019855595290674e-29
631,4.520815001768625e-29
632,4.539644444008182e-29
633,4.558473886247739e-29
