wavelength,qe,qe_err
752,0.30519999999999997,0.0041199999999999995
753,0.303,0.004079999999999999
754,0.3008,0.00404
755,0.2986,0.004
756,0.2964,0.00396
757,0.2942,0.00392
758,0.29200000000000004,0.0038799999999999998
759,0.2898,0.00384
760,0.2876,0.0038
761,0.28573000000000004,0.00381
762,0.28386,0.00382
763,0.28199,0.00383
764,0.28012,0.00384
765,0.27825,0.00385
766,0.27638,0.0038599999999999997
767,0.27451,0.0038699999999999997
768,0.27264,0.0038799999999999998
769,0.27076999999999996,0.00389
770,0.2689,0.0039
771,0.26761999999999997,0.0038799999999999998
772,0.26633999999999997,0.0038599999999999997
773,0.26505999999999996,0.00384
774,0.26377999999999996,0.00382
775,0.26249999999999996,0.0038
776,0.26122,0.00378
777,0.25994,0.00376
778,0.25866,0.0037400000000000003
779,0.25738,0.00372
780,0.2561,0.0037
781,0.25448,0.00372
782,0.25286,0.0037400000000000003
783,0.25124,0.00376
784,0.24962,0.00378
785,0.248,0.0038
786,0.24638,0.00382
787,0.24476,0.00384
788,0.24314,0.0038599999999999997
789,0.24152,0.0038799999999999998
790,0.2399,0.0039
791,0.23806,0.0038
792,0.23622,0.0036999999999999997
793,0.23438,0.0036
794,0.23254,0.0034999999999999996
795,0.23070000000000002,0.0034
796,0.22886,0.0033
797,0.22702,0.0031999999999999997
798,0.22518,0.0031
799,0.22334,0.0029999999999999996
800,0.2215,0.0029
801,0.22067,0.00293
802,0.21984,0.00296
803,0.21901,0.00299
804,0.21818,0.00302
805,0.21735,0.0030499999999999998
806,0.21652,0.00308
807,0.21569,0.00311
808,0.21486,0.00314
809,0.21403,0.00317
810,0.2132,0.0032
811,0.2127,0.00319
812,0.2122,0.00318
813,0.2117,0.00317
814,0.2112,0.00316
815,0.2107,0.00315
816,0.2102,0.00314
817,0.2097,0.00313
818,0.2092,0.00312
819,0.2087,0.00311
820,0.2082,0.0031
821,0.20459,0.00302
822,0.20098,0.00294
823,0.19737,0.0028599999999999997
824,0.19376,0.00278
825,0.19014999999999999,0.0027
826,0.18653999999999998,0.00262
827,0.18293,0.0025399999999999997
828,0.17932,0.00246
829,0.17571,0.00238
830,0.1721,0.0023
831,0.17379,0.00243
832,0.17548,0.0025599999999999998
833,0.17717,0.0026899999999999997
834,0.17886,0.00282
835,0.18055,0.00295
836,0.18224,0.00308
837,0.18393,0.0032099999999999997
838,0.18562,0.00334
839,0.18731,0.00347
840,0.189,0.0036
841,0.18661,0.00358
842,0.18422,0.00356
843,0.18183,0.0035399999999999997
844,0.17944,0.0035199999999999997
845,0.17704999999999999,0.0034999999999999996
846,0.17466,0.00348
847,0.17227,0.00346
848,0.16988,0.00344
849,0.16749,0.00342
850,0.1651,0.0034
851,0.16293,0.0033
852,0.16076,0.0031999999999999997
853,0.15859,0.0031
854,0.15642,0.0029999999999999996
855,0.15425,0.0029
856,0.15208,0.0027999999999999995
857,0.14991,0.0026999999999999997
858,0.14774,0.0026
859,0.14557,0.0024999999999999996
860,0.1434,0.0024
861,0.14342,0.0023799999999999997
862,0.14344,0.0023599999999999997
863,0.14346,0.00234
864,0.14348,0.00232
865,0.14350000000000002,0.0023
866,0.14352,0.00228
867,0.14354,0.00226
868,0.14356,0.0022400000000000002
869,0.14358,0.00222
870,0.1436,0.0022
871,0.1429,0.0022
872,0.1422,0.0022
873,0.14150000000000001,0.0022
874,0.1408,0.0022
875,0.1401,0.0022
876,0.1394,0.0022
877,0.1387,0.0022
878,0.138,0.0022
879,0.1373,0.0022
880,0.1366,0.0022
881,0.1336,0.00215
882,0.1306,0.0021000000000000003
883,0.1276,0.00205
884,0.1246,0.002
885,0.1216,0.00195
886,0.1186,0.0019
887,0.1156,0.00185
888,0.1126,0.0018
889,0.1096,0.0017499999999999998
890,0.1066,0.0017
891,0.10629,0.0016899999999999999
892,0.10598,0.0016799999999999999
893,0.10567,0.00167
894,0.10536,0.00166
895,0.10505,0.00165
896,0.10474,0.00164
897,0.10443,0.00163
898,0.10411999999999999,0.0016200000000000001
899,0.10381,0.00161
900,0.1035,0.0016
901,0.10324,0.00158
902,0.10298,0.00156
903,0.10271999999999999,0.0015400000000000001
904,0.10246,0.00152
905,0.1022,0.0015
906,0.10194,0.00148
907,0.10168,0.00146
908,0.10142,0.00144
909,0.10116,0.00142
910,0.1009,0.0014
911,0.09914,0.00138
912,0.09738000000000001,0.0013599999999999999
913,0.09562,0.00134
914,0.09386,0.00132
915,0.0921,0.0013
916,0.09034,0.0012799999999999999
917,0.08858,0.0012599999999999998
918,0.08682,0.00124
919,0.08506,0.00122
920,0.0833,0.0012
921,0.082755,0.0011949999999999999
922,0.08221,0.0011899999999999999
923,0.081665,0.0011849999999999999
924,0.08112,0.0011799999999999998
925,0.08057500000000001,0.0011749999999999998
926,0.08003,0.00117
927,0.079485,0.001165
928,0.07894,0.00116
929,0.078395,0.001155
930,0.07785,0.00115
931,0.077305,0.001145
932,0.07676000000000001,0.00114
933,0.076215,0.001135
934,0.07567,0.00113
935,0.075125,0.0011250000000000001
936,0.07458000000000001,0.0011200000000000001
937,0.074035,0.001115
938,0.07349,0.00111
939,0.07294500000000001,0.001105
940,0.0724,0.0011
941,0.071345,0.00108
942,0.07029,0.00106
943,0.069235,0.0010400000000000001
944,0.06818,0.00102
945,0.067125,0.001
946,0.06607,0.00098
