id,ra,dec,X_IMAGE,Y_IMAGE,g1_gmix,g2_gmix,T_gmix,flux_gmix,g1_MC,g2_MC,g1_Rinv,g2_Rinv,T_mcal,flux_mcal
1955.0,289.72369846799126,-33.173373403346055,229.3728,1059.5563,0.0386481860439704,0.05342071940548473,5.203947611255949,2807.8069242331844,0.011882944036904621,0.0316427064906281,-0.0020635339309536295,-0.0024615300851377466,4.607005139831623,2546.095691959737
1956.0,289.66633318756476,-33.17368446538625,1068.4980,1055.7794,-0.014573180024040672,0.008838097859889267,5.407923386543402,2930.284477262901,-0.0026130778090248854,0.005509186306391003,0.0005017753696006052,-0.00045573886432761677,4.788500650647978,2651.320688235928
1957.0,289.6371387816308,-33.1738112671755,1495.6332,1054.1573,-0.009880297952683359,0.006797253753848385,1.7274564921790454,1881.334459704529,-0.00769591508205693,0.008271030060106462,0.0005718025998698126,-0.00036839251418684175,1.671528239049783,1838.944296532428
1958.0,289.52988583596346,-33.17407810024252,3064.4846,1050.6742,-0.001884223158944436,0.05444211703257943,6.157962961252273,3154.3180274786628,-0.0004644333345855165,0.02844499077208618,0.00018771233430330095,-0.002454501969972728,5.3345781244042705,2799.5598949266564
1960.0,289.27808380537994,-33.174103779140744,6747.6416,1046.8878,0.025317610512608217,0.045478691210553264,1.7986910349574925,1879.91164721962,0.01745885573732332,0.052890405494364086,-0.0013427548108401008,-0.0023869241756188093,1.7279859894653773,1828.853519556407
1962.0,289.48422324574227,-33.17504334411689,3732.4324,1033.8591,-0.08074843317648275,-0.08270978986640491,6.771848965644974,3225.6906169855797,-0.015520219801338135,-0.04303734289146428,0.003555512498100398,0.0038674678421442574,5.723852459370703,2815.964692348235
1963.0,289.6605048973596,-33.175043835569575,1153.9735,1032.1501,0.06639928484422987,-0.04330274738042128,3.324479849462822,2474.6458209951174,0.029730738353843236,-0.04128577070411583,-0.0036063467759315897,0.0022858799255443137,3.066520845416695,2331.297544470683
1964.0,289.4651158381554,-33.17554627116299,4012.0579,1025.1343,0.014456860616489684,0.07541173800905933,2.212990479608787,2097.2675933776472,0.010287017712437988,0.07939622957390313,-0.0008048112068060313,-0.0038870580716903005,2.119554795703146,2034.3890179415926
1967.0,289.5572785130256,-33.175840285870095,2663.8533,1019.6780,-0.14667732881130177,0.01635053504849655,5.753462509508881,3113.3400864714836,-0.04018481913211213,0.00925611928993276,0.007698301119894303,-0.0007217093161136385,5.011392041398188,2790.751094744119
1968.0,289.6615479635042,-33.17569380752458,1138.6375,1020.8693,-0.007325992493760451,-0.0012074213344815438,2.4005432169115966,2313.591229025045,-0.003366947444860093,-0.0004708659992866521,0.00032506650375258386,2.3967144720108333e-05,2.277587570983648,2229.0748493458022
1969.0,289.28489402920076,-33.17557316490003,6648.1396,1021.5096,-0.013183230530993493,0.015181425493056015,2.5158696527639184,1985.9404623284663,-0.008164959687464364,0.017959235084397767,0.0007419610152111285,-0.0008560421866603042,2.357270540143631,1898.335965527783
1970.0,289.29212519677145,-33.17571506307603,6542.3345,1019.2018,-0.020932953773626004,0.0655277193855368,12.337019732112823,5045.296786241019,-0.002659811272778935,0.02042110562236722,0.001092749290585603,-0.0026673947882361023,9.327357932316442,3929.15412185925
1971.0,289.61489118733937,-33.17634234961262,1821.1720,1010.2763,0.07941826542035287,0.16775097008507645,0.41415513166425505,2344.050834529793,0.09570907644822545,0.20664340458902758,-0.004342758515129382,-0.008453557005951795,0.44450109226939405,2401.0838049250797
1972.0,289.6337464764779,-33.176423958889586,1545.2878,1008.4548,-0.1505366608159251,0.0802955560879949,5.133635237976212,3079.5963758078365,-0.04603352521162196,0.05148400329656954,0.008004408800438994,-0.0040343677906603875,4.551301688479777,2809.4242111609497
1973.0,289.3317783785471,-33.176576906730666,5962.3667,1005.2550,-0.08091907069688854,0.11594657146389917,0.6410079189699822,1669.768930391799,-0.09253174552378891,0.14261363678395178,0.004229411195155981,-0.0057900360678552676,0.6845082440313438,1713.7001611334692
1974.0,289.44067858062783,-33.17656745594969,4369.4238,1007.1002,0.05927900377011331,0.05048989859552025,5.722623666567203,2941.6364239108743,0.013785060516723742,0.03313949091300091,-0.0027763307790214004,-0.00262231390266965,4.981555561635204,2628.7365144319588
1977.0,289.49782583749163,-33.17698599323405,3533.7705,1000.1245,-99999.0,-99999.0,-99999.0,-99999.0,0.013785060516723742,0.03313949091300091,-0.0027763307790214004,-0.00262231390266965,4.981555561635204,2628.7365144319588
1978.0,289.359876092358,-33.17705600482796,5551.2656,997.5898,-0.10208752722845307,0.00667541619129174,4.31115754581917,2507.1886168648907,-0.037938219254231915,0.003913889179581947,0.005627243041092593,-0.0003487101742745746,3.8635931862303265,2304.0440470669964
1980.0,289.4540265893663,-33.17732838152668,4174.3242,993.9564,-0.013660383230899947,-0.04646725615765939,5.603067283808124,2945.7482481015095,-0.0034902922376047743,-0.02691936076984347,0.0006794744431673144,0.002081384769246878,4.886107447746413,2633.4987844810676
1981.0,289.5388135724262,-33.1775935378591,2933.9336,989.2639,-99999.0,-99999.0,-99999.0,-99999.0,-0.0034902922376047743,-0.02691936076984347,0.0006794744431673144,0.002081384769246878,4.886107447746413,2633.4987844810676
1982.0,289.69651707925846,-33.17767550543946,627.2581,985.2205,0.13205068864209157,0.08996240609717916,0.19411731827732365,1533.5728950323214,0.19991796193938266,0.1415895022063274,-0.007278482257912286,-0.004483517667965314,0.23370787963525003,1621.8930992998316
1983.0,289.625999435256,-33.177706555279094,1658.6831,986.3492,0.023802226411452392,-0.07896428109254343,3.518626377521989,2306.0562972806774,0.013167182848262087,-0.07076760128337177,-0.001465798228795451,0.004065245651022206,3.2210867265613503,2158.572203885659
1984.0,289.3547731315738,-33.17793150375993,5625.8755,982.0457,-0.0920556108419967,0.047362826593302425,1.9518834963792044,1963.9512264006644,-0.06960213937843246,0.05432587036009631,0.005241600790835446,-0.002452015286860326,1.8626268299218878,1902.979302352585
