col0,ALPHA_J2000,DELTA_J2000,NUMBER,FLUX_RADIUS,KRON_RADIUS,FLUX_814W,ZPDF,mag_u,mag_b,mag_g,mag_r,mag_nir,mag_lum,crates_u,crates_b,crates_g,crates_r,crates_nir,crates_lum,case,c10_IDENT,c10_mag_auto,c10_zphot,c10_flux_radius,c10_sersic_fit_intensity,c10_sersic_fit_hlr,c10_sersic_fit_n,c10_sersic_fit_q,c10_sersic_fit_boxiness,c10_sersic_fit_x0,c10_sersic_fit_y0,c10_sersic_fit_phi,c10_bulge_fit_disk_intensity,c10_bulge_fit_disk_hlr,c10_bulge_fit_disk_n,c10_bulge_fit_disk_q,c10_bulge_fit_disk_boxiness,c10_bulge_fit_disk_x0,c10_bulge_fit_disk_y0,c10_bulge_fit_disk_phi,c10_bulge_fit_bulge_intensity,c10_bulge_fit_bulge_hlr,c10_bulge_fit_bulge_n,c10_bulge_fit_bulge_q,c10_bulge_fit_bulge_boxiness,c10_bulge_fit_bulge_x0,c10_bulge_fit_bulge_y0,c10_bulge_fit_bulge_phi,c10_fitstatus_0,c10_fitstatus_1,c10_fitstatus_2,c10_fitstatus_3,c10_fitstatus_4,c10_fit_mad_s,c10_fit_mad_b,c10_fit_dvc_btt,c10_use_bulgefit,c10_viable_sersic,c10_hlr_sersic,c10_hlr_bulge,c10_flux_sersic,c10_flux_bulge,c10_flux_disk,c10_flux_3
394650,149.86233585630998,2.536242485216247,814802,3.7848153,4.8163323,24.74,1.0831,25.21237874748621,25.254501542557986,25.23641747991895,25.17544849919954,24.542004684993778,25.24102532526566,0.0374826888112771,0.113928331262723,0.0697144398328668,0.0340691833215389,0.0277712981222981,0.1508650701217595,1,107101,24.73992347717285,1.110700011253357,6.966928482055664,0.0086146116968927,8.465104348561919,1.0026626705653012,0.434454590158302,0.0,108.39942021531373,108.70004496536905,0.9608377519955512,0.0077033569187099,8.979335926759333,1.0,0.4237242959090435,0.0,108.38923063219602,108.68198582618436,0.9594565949624132,0.0464633556258669,0.774179474278419,4.0,0.1550299762368554,0.0,108.38923063219602,108.68198582618436,0.0152795963612845,1,1,1,1,1,0.0023887391200078,0.0024165972472907,0.0288594286828575,0,1,0.167388557098325,0.0,3.208143010878452,0.0,0.0,0.0
363392,149.56286449079764,2.462601712694365,765970,1.5382725,4.508842,25.73,0.5149,27.083451076312578,26.956674801973826,26.482351111325706,26.293884491906677,26.104442514811232,26.746342067866543,0.0066896255019042,0.0237554046412272,0.0221283631229169,0.0121615050941901,0.0065859897225314,0.0377104749233624,2,72627,24.105871200561523,0.5149000287055969,4.315558910369873,0.0,3.317314631366669,1.7016308499926556,0.2681666256760521,0.0,0.0,0.0,0.7421246856434585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
382848,149.7737324851211,2.509206995636082,795878,3.7101378,3.5562184,26.64,2.0084,27.15844663916976,26.663302535885517,26.164933182877892,26.023791759744704,25.6670974040807,26.459868689918544,0.0062431472845631,0.0311251418147036,0.0296426114164363,0.0155964019370631,0.0098527869715262,0.0490965926925177,2,199885,24.67472076416016,2.0083999633789062,7.898687839508057,0.0,8.383582706804727,0.0581544475023676,0.6146302570559283,0.0,0.0,0.0,0.6552393258414835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101068,150.47345219794218,1.891121069843364,393331,1.9775337,0.0,24.77,3.8178,30.61589344317013,27.03647636498973,26.03246742415393,25.698049621222417,25.687418198830493,26.546404035416693,0.0002584787585069,0.0220720060865502,0.0334890451051036,0.021053353098254,0.0096700957657981,0.0453353752577378,1,1144685,24.76854515075684,3.8477001190185542,11.065720558166504,0.0020177170309574,13.48957357301378,2.169432667911809,0.5107885123356598,0.0,128.36198199349366,127.95103943953532,0.5845863709568613,0.0021821113319389,17.812250804790096,1.0,0.1898302473489961,0.0,128.23370158833927,128.13905191939892,0.5129794265376676,0.0005416589094355,17.812250804790096,4.0,0.4841942637742884,0.0,128.23370158833927,128.13905191939892,1.712223594873156,1,1,1,1,1,0.0019586960897667,0.0018524139972662,0.5342267640664592,1,1,0.2892278016066698,0.3718346659130141,3.177154233663632,1.885858679386616,1.5697912595193086,3.4556499389059248
206916,149.673004998169,2.1216646793699376,539218,4.9659467,3.5,23.85,0.6023,25.235223099184445,25.05174401114234,24.36740783589996,24.0107661069484,23.671168617617063,24.71458371489134,0.036702275990245,0.1373203016518814,0.1552124662512577,0.0995943450697049,0.0619342107416055,0.2449995818326494,1,77164,23.84978485107422,0.6243000030517578,11.92746925354004,0.0104340205429891,17.599075855545284,0.7968312424031848,0.1990364667277811,0.0,134.30011386507246,134.702706552088,1.603758102490859,0.0089746931027642,18.87077256348731,1.0,0.185689048553432,0.0,134.291168258815,134.7516304749281,-1.5432595931206992,0.0007067405257794,18.87077256348731,4.0,0.05,0.0,134.291168258815,134.7516304749281,-0.7544657618543613,1,1,1,1,1,0.0022384451129568,0.0020947547836734,0.0369915147432379,0,1,0.2355469280700207,0.0,6.9854333108542,0.0,0.0,0.0
118931,150.0508126790496,1.931189688186768,418715,2.1901238,0.0,26.4,2.2386,27.149597613174382,26.94530799951845,26.80988031577088,26.79329713410879,26.78060290223987,26.8973449455652,0.0062942384416917,0.0240054114109532,0.0163658138758172,0.0076775432065127,0.0035331078416909,0.0328141267154129,2,43114,23.768274307250977,2.238600015640259,5.791746139526367,0.0,5.5716582160181,3.156265622126808,0.6605522530603336,0.0,0.0,0.0,-1.6773474941361202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
81020,149.9071614122595,1.8353833540486617,359022,4.0671396,3.5,22.64,0.8094,23.78284763499624,23.56302594256399,23.26531469759295,23.16954982087102,22.460094466581687,23.450770290678683,0.1398437889631848,0.5410307834511311,0.4283155630894553,0.2161330561422843,0.1889558177597687,0.7846766201894095,1,160437,22.638296127319336,0.7973999977111816,14.42798900604248,0.0205588281962846,22.67580685012215,0.8588053936601396,0.1776728562549269,0.0,150.26929745882356,150.66025482274512,-0.569469375225971,0.0186718693538397,23.50953820013189,1.0,0.1759578162865213,0.0,150.24120651591497,150.6737981357032,-0.5702220339050302,0.0,6.364640010325122,4.0,0.05,0.0,150.24120651591497,150.6737981357032,-0.3882072978372571,1,1,1,1,1,0.0023165629716894,0.0023168463653273,0.0,0,1,0.2867441364026682,0.0,21.04058001579896,0.0,0.0,0.0
143366,150.23285402968048,1.985687421572148,452315,4.9440484,3.5266728,25.2,0.8546,26.035666535855093,26.06759324194085,25.910209701026996,25.806740318963698,25.115109275351408,26.00510182268884,0.0175596405678367,0.0538759642980906,0.0374805412339613,0.0190478075817006,0.0163815255846517,0.0746376745745769,2,120327,22.981542587280277,0.8546000123023987,9.68242073059082,0.0,14.688054818308936,3.0529356011327597,0.943029884233296,0.0,0.0,0.0,-1.2432810238854608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
439012,150.704634911085,2.6381372900351643,882566,5.2133574,3.5,22.74,1.2208,23.884093402179765,23.692582379623357,23.48768961773893,23.40351338404343,22.858821332358023,23.610241363056023,0.1273927977327921,0.480174841151298,0.3489907265559075,0.1742351482435654,0.1308788654696915,0.6774890555793466,1,61649,22.74027633666992,1.240399956703186,11.811394691467283,0.0229310366994546,17.359656447574984,1.453982967354482,0.1983244245826002,0.0,133.86262589237404,133.85595857708958,1.655428053871742,0.0167186869769731,18.944920785662152,1.0,0.2194590348409116,0.0,133.8869218589187,133.46946743473188,1.6363966222268298,0.0376435124311792,9.061500178247568,4.0,0.05,0.0,133.8869218589187,133.46946743473188,1.7321052199203866,1,1,1,1,1,0.0034103980306232,0.0033329246649876,0.1753270017768857,0,1,0.2319265577714202,0.0,19.31438784973689,0.0,0.0,0.0
457560,149.66727515393953,2.682936763287461,909801,2.3066654,0.0,26.0,3.6481,31.19906606569388,28.085653366221727,27.314621811439142,27.46240091353936,27.42939141252291,27.86770092397729,0.0001510622016642,0.008397905953275,0.0102811337604895,0.0041455366345659,0.0019437548480397,0.0134251287530949,2,602953,25.15021514892578,3.648099899291992,5.882234573364258,0.0,5.353183602845934,3.6645222373785353,0.3919145740168493,0.0,0.0,0.0,1.8893039313927669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
