No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
37,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 156</a>",177.71051,-28.09716,G,108951.00,0.36342,SUN,,0.773,1,0,0,1,1,0,0
38,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 07.1</a>",177.70522,-28.07322,G_Lens,995311.00,3.32,PUN,,0.774,1,0,0,1,1,0,0
39,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c18.1  </a>",177.68863,-28.08777,VisS,176878.00,0.59,PUN,,0.779,1,0,0,1,1,0,0
40,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 03.1</a>",177.71479,-28.09432,G_Lens,842417.00,2.81,PUN,,0.791,1,0,0,1,1,0,0
41,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 05.1</a>",177.71204,-28.07536,G_Lens,764471.00,2.55,PUN,,0.791,1,0,0,1,1,0,0
42,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115051.78-280535.8</a>",177.71579,-28.09329,IrS,82078.00,0.273783,SUN,,0.797,1,0,12,2,1,0,0
43,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c18.2  </a>",177.68856,-28.08924,VisS,1019294.00,3.4,PUN,,0.799,1,0,0,1,1,0,0
44,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c05.5  </a>",177.69110,-28.09426,VisS,137905.00,0.46,PUN,,0.81,1,0,0,1,1,0,0
45,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115045.09-280504.2</a>",177.68788,-28.08451,IrS,422250.00,1.408474,SUN,,0.816,1,0,12,2,1,0,0
46,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 19.4</a>",177.69244,-28.09580,G_Lens,2080560.00,6.94,PUN,,0.819,1,0,0,1,1,0,0
47,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 10.3</a>",177.68747,-28.08515,G_Lens,305788.00,1.02,PUN,,0.834,1,0,0,1,1,0,0
48,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 05.2</a>",177.71376,-28.07530,G_Lens,668537.00,2.23,PUN,,0.851,1,0,0,1,1,0,0
49,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 10.1</a>",177.68726,-28.08405,G_Lens,293797.00,0.98,PUN,,0.852,1,0,0,1,1,0,0
50,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 10.2</a>",177.68720,-28.08446,G_Lens,290799.00,0.97,PUN,,0.852,1,0,0,1,1,0,0
51,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[NSB2022]0792</a>",177.70090,-28.07164,G,2359367.00,7.87,PUN,,0.87,1,0,0,1,1,0,0
52,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 150</a>",177.70746,-28.07159,G,111753.00,0.372767,SUN,,0.894,1,0,0,1,1,0,0
