No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
51,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134733.54-324302.7</a>",206.88983,-32.71747,G,11583.00,0.038637,UUN,,9.114,2,0,27,3,1,2,0
52,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134753.88-324416.1</a>",206.97446,-32.73772,G,11300.00,0.037693,UUN,15.2I,9.236,6,0,27,4,2,2,0
53,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134755.16-330029.5</a>",206.97971,-33.00803,G,11350.00,0.03786,UUN,,9.757,4,0,27,4,2,2,0
54,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134811.73-324719.1</a>",207.04900,-32.78850,G,12767.00,0.042586,UUN,15.74,9.841,6,0,27,4,3,2,0
55,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134655.44-324521.8</a>",206.73108,-32.75600,G,10428.00,0.034784,UUN,15.7I,10.084,7,0,27,4,2,2,0
56,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134818.09-324900.2</a>",207.07550,-32.81739,G,10777.00,0.035948,UUN,,10.38,4,0,39,5,2,2,0
57,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 383- G 078</a>",206.89054,-33.04275,G,9305.00,0.031038,UUN,16.15,10.435,14,1,20,4,5,14,0
58,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134805.59-324437.6</a>",207.02337,-32.74400,G,12622.00,0.042102,UUN,14.7I,10.457,11,0,27,6,5,2,0
59,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134756.77-330106.5</a>",206.98663,-33.01867,G,13955.00,0.046549,SLS,17.4R,10.483,2,0,18,3,1,0,2
60,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 383-IG 082</a>",206.98667,-33.01867,G,13880.00,0.046299,SUN,16.43,10.485,9,1,13,4,1,12,1
61,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134716.77-330225.4</a>",206.81996,-33.04036,G,11533.00,0.03847,UUN,15.4I,10.697,6,0,27,4,2,2,0
62,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134806.96-325958.8</a>",207.02896,-32.99964,G,13001.00,0.043367,UUN,,10.88,4,0,27,4,2,2,0
63,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134753.10-324214.2</a>",206.97135,-32.70393,G,12675.00,0.042279,UUN,,10.95,2,0,18,3,1,0,0
64,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134707.34-324207.5</a>",206.78042,-32.70247,G,13498.00,0.045024,UUN,,11.166,6,0,27,4,2,2,0
65,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134709.22-330228.6</a>",206.78846,-33.04133,G,13458.00,0.044891,SUN,16.2b,11.295,7,0,27,4,2,2,0
