No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
121,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-078</a>",110.70517,-73.46383,G,581597.00,1.94,PSE,,2.878,1,0,0,1,1,0,0
122,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-062</a>",110.72592,-73.47319,G,539626.00,1.8,PSE,,2.933,1,0,0,1,1,0,0
123,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-039</a>",110.75242,-73.47972,G,905373.00,3.02,PSE,,2.937,1,0,0,1,1,0,0
124,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-063</a>",110.72429,-73.47311,G,2095550.00,6.99,PSE,,2.95,1,0,0,1,1,0,0
125,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DA-040</a>",110.76637,-73.48503,G,1181182.00,3.94,PSE,,3.086,1,0,0,1,1,0,0
126,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DA-034</a>",110.77167,-73.48706,G,1621877.00,5.41,PSE,,3.155,1,0,0,1,1,0,0
127,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-083</a>",110.67800,-73.45897,G,1313091.00,4.38,PSE,,3.168,1,0,0,1,1,0,0
128,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-027</a>",110.75429,-73.48531,G,1040280.00,3.47,PSE,,3.201,1,0,0,1,1,0,0
129,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-058</a>",110.70117,-73.47425,G,887386.00,2.96,PSE,,3.292,1,0,0,1,1,0,0
130,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-020</a>",110.73279,-73.48817,G,1049274.00,3.5,PSE,,3.544,1,0,0,1,1,0,0
131,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-050</a>",110.68750,-73.47692,G,581597.00,1.94,PSE,,3.574,1,0,0,1,1,0,0
132,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-018</a>",110.73342,-73.48942,G,3849336.00,12.84,PSE,,3.6,1,0,0,1,1,0,0
133,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-075</a>",110.65979,-73.46586,G,980321.00,3.27,PSE,,3.619,1,0,0,1,1,0,0
