,wavelengths,transmission
146,446,0.0012072313865419662
147,447,0.0007738857289967782
148,448,0.0007623221147836073
149,449,0.0012375164293412912
150,450,0.0009148527392929344
151,451,0.00029713863324294144
152,452,0.00014423084507476607
153,453,0.0001411707267918879
154,454,0.0001297975522891933
155,455,9.139197802026104e-05
156,456,8.733137973704583e-05
157,457,0.00010747625974909792
158,458,0.0001249047320713635
159,459,0.00011793598327440225
160,460,8.385782803983027e-05
161,461,0.0001026286567680146
162,462,0.00011223734323577978
163,463,0.00010032072882645851
164,464,7.050067553756106e-05
165,465,6.843365930656693e-05
166,466,6.652931848596782e-05
167,467,6.47963210544814e-05
168,468,6.327927896855059e-05
169,469,6.208134990817443e-05
170,470,6.136098055423564e-05
171,471,6.124721115462593e-05
172,472,6.152884867985904e-05
173,473,6.21693834043298e-05
174,474,6.31052451970787e-05
175,475,6.43037047403164e-05
176,476,6.557059000798409e-05
177,477,5.457290665654874e-05
178,478,3.95912078536526e-05
179,479,6.776892381082995e-05
180,480,7.006691642073646e-05
181,481,9.035125331596085e-05
182,482,9.39290277470465e-05
183,483,7.13116090407351e-05
184,484,7.143044082251827e-05
185,485,7.1418464744461e-05
186,486,7.129753417471861e-05
187,487,5.870757966521358e-05
188,488,4.0687890552022607e-05
189,489,6.871063831611483e-05
190,490,7.009562106884853e-05
191,491,8.856880199002448e-05
192,492,7.94575994611531e-05
193,493,3.924940890700313e-05
194,494,6.602114953441135e-05
195,495,6.706151547785268e-05
196,496,6.640510754531023e-05
197,497,6.573311001421351e-05
198,498,6.50431401122183e-05
199,499,6.436601368793624e-05
200,500,6.366661595026032e-05
201,501,4.579333205639065e-05
202,502,4.208565337245972e-05
203,503,6.183994062254563e-05
204,504,6.123992566059435e-05
205,505,6.0638780346265854e-05
206,506,6.005003595416737e-05
207,507,5.9466415525458276e-05
208,508,5.449769644861003e-05
209,509,3.059869086172373e-05
210,510,5.0492654065142525e-05
211,511,4.14336491862705e-05
212,512,3.8057270162539656e-05
213,513,5.578864948212983e-05
214,514,5.516594000195203e-05
215,515,5.455438096546357e-05
216,516,5.393734145503915e-05
217,517,5.332513204435929e-05
218,518,5.272557493153782e-05
219,519,5.2145856097610855e-05
220,520,5.157161319905787e-05
221,521,5.103371539218186e-05
222,522,5.050328328262236e-05
223,523,4.623083691520294e-05
224,524,2.5932138754423223e-05
225,525,4.2837029936446934e-05
226,526,4.845677285959912e-05
227,527,3.957874888931489e-05
